ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
11004,7787,7,Michaelc,26.0,299960609.0,Manager,62846.31,5393.1925,9.0,8.0,20.0,7.0,"not specified,credit-builder loan,student loan,credit-builder loan,debt consolidation loan,debt consolidation loan,not specified",40.0,18.0,1.79,10.0,Bad,4073.62,32.455597011062224,27.0,Yes,284.98291964752286,59.33641594945257,High_spent_Medium_value_payments,321.85586906244566,Poor
96380,21488,3,Abrahamianu,26.0,73245469.0,Manager,44632.44,3419.370000000001,10.0,6.0,33.0,5.0,"payday loan,personal loan,not specified,auto loan,auto loan",15.0,18.0,23.48,6.0,Bad,3409.13,39.326410833083145,77.0,Yes,154.14231087946283,46.8614379095034,Low_spent_Small_value_payments,83.0645057902289,Standard
85473,45946,4,Shihf,41.0,590890942.0,Mechanic,28062.39,2397.5325,5.0,5.0,7.0,1.0,student loan,25.0,1.0,9.74,3.0,Good,839.85,36.59274303586854,217.0,No,14.835134835161696,20.765301398442222,High_spent_Large_value_payments,443.0503626453584,Poor
37631,30410,6,Dianen,50.0,242452340.0,Mechanic,97010.16,8178.18,1.0,7.0,3.0,0.0,No Data,10.0,1.0,0.71,7.0,Good,248.84,35.11151978285109,363.0,NM,0.0,98.7224994690673,High_spent_Medium_value_payments,927.6397696753064,Poor
11459,10123,6,Lucia Mutikaniz,37.0,190831891.0,Musician,88406.34,7113.195,2.0,7.0,12.0,4.0,"home equity loan,not specified,personal loan,payday loan",10.0,3.0,9.06,3.0,Good,1273.15,25.823063995461613,378.0,No,242.2368498447588,90.48263251919502,High_spent_Medium_value_payments,515.4257845671455,Standard
82915,4657,2,James Reganc,38.0,780207811.0,Journalist,30739.3,2298.608333333333,4.0,4.0,13.0,6.0,"student loan,personal loan,payday loan,payday loan,student loan,student loan",15.0,10.0,16.7,4.0,Standard,1365.58,29.727568179247108,213.0,Yes,135.2381410533745,24.695750415981102,High_spent_Medium_value_payments,319.92694186397773,Standard
132023,32347,6,Chucke,44.0,176513094.0,Architect,29894.7,2570.225,4.0,3.0,19.0,7.0,"auto loan,mortgage loan,student loan,payday loan,payday loan,auto loan,not specified",20.0,13.0,10.33,6.0,Standard,1049.2,32.17906050311606,159.0,Yes,95.87008851162832,29.85333864289988,High_spent_Large_value_payments,361.26807315466806,Good
21659,43974,6,Sarah N.s,26.0,588486819.0,Mechanic,20380.51,1854.375833333333,8.0,3.0,20.0,5.0,"debt consolidation loan,student loan,home equity loan,debt consolidation loan,credit-builder loan",6.0,15.0,9.5,12.0,Standard,153.7,24.8284799082137,162.0,Yes,57.299498128700144,41.424365231283495,Low_spent_Medium_value_payments,223.92343559088297,Standard
95554,44725,5,Sinead Carewe,19.0,410699783.0,Musician,17816.75,1623.729166666667,5.0,5.0,8.0,1.0,auto loan,32.0,15.0,3.03,4.0,Standard,438.66,32.4620637926778,188.0,Yes,12.03182073160791,54.86746664257447,Low_spent_Small_value_payments,285.5958741954663,Standard
67182,50438,1,Tomq,17.0,598448256.0,Architect,10499.56,995.9633333333333,8.0,3.0,11.0,7.0,"student loan,auto loan,debt consolidation loan,personal loan,student loan,home equity loan,mortgage loan",20.0,10.0,7.86,5.0,Standard,2469.98,38.24590445586472,205.0,Yes,40.53744008958719,25.12227664252101,Low_spent_Medium_value_payments,263.80593727375003,Standard
